Esmaspäev,Monday,Понедельник
Märgitud väljad on kohustuslikud,Marked fields are required,Отмеченные поля обязательны для заполнения
Märkused,Notes,Примечания
Nõustamine,Counselling,Консультирование
Nädalamenüü,Weekly menu,Недельное меню
Näita rohkem,Show more,Подробнее
Olulised kontaktid,Important contacts,Важные контакты
Otsi,Search,Поиск
Parkimine,Parking,Парковка
Peahoone,Main building,Главное здание
Praktika,Internship,Практика
Põhimäärus,Statutes,Устав
Põhiväärtused,Core values,Высшие ценности
Raamatukogu,Library,Библиотека
Registreeri valikainesse,Register to elective subjects,Зарегистрируйтесь на посещение предмета на выбор
Ruum,Room,Кабинет
Saada,Send,Отправить
Sihtgrupp,Target group,Целевая группа
Sinu e-mail,Your e-mail,Ваш адрес электронной почты
Sinu nimi,Your name,Ваше имя
Sisseastumine,Admission,Поступление
Sisukaart,Sitemap,Карта содержания
Sport,Sports,Спорт
Sportimisvõimalused,Sport facilities,Возможности для занятий спортом
Sõnum,Message,Сообщение
Sügissemester,Autumn semester,Осенний семестр
Sündmuste kalender,Event calendar,Календарь событий
Taimetoit,Vegetarian food,Вегетарианская пища
Teenused,Services,Услуги
Tellitavad koolitused,Ordered trainings,Заказные тренинги
Tervisekabinet,Health services,Медпункт
Toetused,Scholarships,Пособия
Toitlustamine,Catering,Питание
Traditsioonid,Traditions,Традиции
Transport,Transport,Транспорт
Tudengi vari,Student shadow,«Тень» студента
Tunnid (koolitunnid),Lessons,Уроки (школьные уроки)
Tunniplaan,Timetable,Расписание
Tunnustused,Recognitions,Почетное признание
Täiendusõpe,Continuing education,Повышение квалификации
Täiendusõppe toetused,Training Scholarships,Пособия для повышения квалификации
Töökohapõhine õpe,Work-based studies,Профессиональное обучение на месте работы
Tööpakkumised,Vacancies,Предложения работы
Uue õppuri meelespea,Student guide,Памятка новичка
Uurimustöö,Research,Научно-исследовательская работа
Vabaained,Elective courses,Факультативные предметы
Vaheajad,Breaks,Каникулы
Vajalikud dokumendid,Required documents,Необходимые документы
Valdkonnad,Curriculum,Области деятельности
Vali kuupäev,Select date,Выберите число
Vali kõik,Select all,Выбрать все
Valikained,Elective subjects,Предмет на выбор
Vastuvõtt,Admission,Прием
Vastuvõtu ajakava,Admission schedule,График приема
Vastuvõtu tingimused ja kord,Admission terms and procedure,Условия и порядок приема
Veel valikuid,More options,Дополнительные опции
Vilistlased,Graduates,Выпускники
Virtuaaltuur,Virtual tour,Виртуальный тур
VÕTA (Varasemate õpingute ja töökogemuse arvestamine),APEL (Accreditation of Prior and Experiential Learning),VÕTA (учет предыдущей учебы и предшествующего опыта работы)
Võta meiega ühendust,Contact us,Свяжитесь с нами
Õpetajad,Teachers,Учителя
Õpilasesindus,Student council,Ученическое представительство
Õpilaskodu,Boarding school,Общежитие для учеников
Õpilastööde vormistamine,Requirements for researchers,Оформление работ учеников
Õpiränne,Learning mobility,Учебная миграция
Õppenõukogu,Teachers’ Council,Педагогический совет
Õppesuunad,Subject fields,Направления обучения
Õppetöö,Studies,Занятия
Õppetöö kalender,Study calendar,Календарь занятий
Õppetöö korraldus,Study arrangement ,Организация занятий
Üldkontakt,General contact,Общий контакт
,,
Töökohad tulevikus,Future career,Будущие рабочие места
Rakenduskava,Implementation Act,Программа действий
Õppekava,Curriculum,Учебная программа
Õppeaasta algus,Academic year begins,Начало учебного года
Õppeaasta lõpp,Academic year ends,Kонец учебного года
Filtreeri,Filter ,Отфильтровать
Viimati muudetud,Last changed, Последние изменения
Veel uudiseid,More news,Больше новостей
Veel teenuseid,More services,Больше услуг
Nädalamenüü,Weekly menu,Меню на неделю
,,
,,
Täiendused eelnenud tõlgetele:,,
Huvitegevuse kalender,Xобби kалендарь / Календарь рекреационной деятельности ,"võib kasutada aga see pole päris korrektne, õigem see algne Календарь деятельности по интересам"
Sinu e-mail,Ваш адрес э-почты,veidi lühendatud võrreldes eelmisega
,,
Meie koolist ,About us,Из нашей школы
Vali kategooria,Select a category,Выберите категорию
Üldinfo,General information,Общая информация
Uudised,News,Новости
